SA	3/16	sjuk
AA	3/16	smittebærere
DB	3/16	tunnel
SA	3/16	utgift
DA	3/16	virusspesial
VG	3/16	øl
AA	3/17	begrunnelse
AA	3/17	diagnose
VG	3/17	fengsel
DB	3/17	initiativ
DA	3/17	interesse
AA	3/17	isolering
AP	3/17	karantenesente
SA	3/17	krisedirektør
VG	3/17	krisehjelp
AA	3/17	lån
SA	3/17	skvis
AA	3/17	stansen
VG	3/17	stengning
VG	3/17	strid
DB	3/17	vakt
VG	3/18	ansvarlig
DA	3/18	arbeid
VG	3/18	bar
DB	3/18	blind
AA	3/18	bot
DA	3/18	budskap
VG	3/18	bygd
DA	3/18	bølge
DB	3/18	datainnsamling
VG	3/18	do
AA	3/18	drakt
BT	3/18	eksil
VG	3/18	ekspert
NL	3/18	gåte
DB	3/18	innskrenkelse
DB	3/18	kart
DB	3/18	kriselov
VG	3/18	kropp
SA	3/18	kur
DA	3/18	lignende
AA	3/18	lockdown
DB	3/18	lungebetennelse
DB	3/18	låte
BT	3/18	medisin
VG	3/18	pappa.no
NL	3/18	party
DB	3/18	rente
DA	3/18	risikogruppe
DA	3/18	sannsiger
DA	3/18	scenario
SA	3/18	sjekken
AA	3/18	smittebølge
VG	3/18	smitteutbredelsen
DB	3/18	stab
VG	3/18	statsråd
AP	3/18	tall
DA	3/18	usikkerhet
DB	3/18	uttalelse
AA	3/18	virusinnsats
DA	3/19	avlaste
NL	3/19	brev
DB	3/19	brudd
SA	3/19	flytte
DB	3/19	forskrift
NL	3/19	framsnakk
VG	3/19	inspirere
DB	3/19	kluss
AP	3/19	konsert
VG	3/19	kriseledelse
DB	3/19	offer
DA	3/19	oppfølging
AP	3/19	sykmeldt
AA	3/19	tilskudd
VG	3/19	undersøkelse
DB	3/19	virusbehandling
VG	3/19	virusrasisme
VG	3/19	virusrespons
AA	3/19	virustrende
DA	3/20	17.mai
SA	3/20	bestemmelse
DB	3/20	briefing
AP	3/20	dans
DB	3/20	detektiv
DB	3/20	detektive
VG	3/20	dilemma
VG	3/20	enstid
AA	3/20	fond
AA	3/20	forskning
AA	3/20	fødestue
SA	3/20	helg
AP	3/20	hits
DB	3/20	katastrofe
DB	3/20	kriselove
AP	3/20	lovbrudd
BT	3/20	lovforslag
AP	3/20	låt
AP	3/20	maskot
AA	3/20	monitor
DN	3/20	mørke
AA	3/20	oppmuntring
AP	3/20	partys
DA	3/20	psykens
AA	3/20	relevant
DA	3/20	sykehjem
SA	3/20	tapet
SA	3/20	troll
DB	3/20	tørke
BT	3/20	utrykning
VG	3/20	utvalg
AP	3/20	versjon
AP	3/20	viruskostyme
DN	3/20	virusspredning
NL	3/20	økonomi
VG	3/21	advarsel
DN	3/21	eksport
AA	3/21	forbud
VG	3/21	herjede
BT	3/21	hjerne
AP	3/21	love
VG	3/21	lunge
VG	3/21	perspektiv
DB	3/21	redd
BT	3/21	resesjon
VG	3/21	sammenheng
AA	3/21	smittebefengt
SA	3/21	smitteråd
AA	3/21	søk
VG	3/21	tilstand
VG	3/21	utmatte
DA	3/21	viruet
VG	3/21	virusmelding
DB	3/21	virusrelatere
AP	3/22	dagbok
DN	3/22	husleie
AA	3/22	influensa
VG	3/22	info
DB	3/22	kansellering
DN	3/22	kriseramm
AA	3/22	kriseteam
DB	3/22	lut
VG	3/22	oppfordring
VG	3/22	svindelbedrifte
VG	3/22	svindelforsøk
AP	3/22	tilværelse
AP	3/22	vegrere
DB	3/23	angrep
AP	3/23	annonse
VG	3/23	astrid
AA	3/23	bekjempe
AP	3/23	brief
VG	3/23	dødelighet
VG	3/23	elite
SA	3/23	fint
VG	3/23	folketett
VG	3/23	gjenge
DA	3/23	konklusjon
VG	3/23	sertifisere
VG	3/23	smitterne
AP	3/23	spesifikk
DA	3/23	tiiltake
VG	3/23	topp
VG	3/24	avdeling
DN	3/24	belaste
AA	3/24	diskusjon
VG	3/24	drama
DB	3/24	endre
AA	3/24	erfaring
DA	3/24	fryktens
SA	3/24	grense
NL	3/24	innlegge
AP	3/24	kampens
SA	3/24	kjefting
VG	3/24	kollisjonskurs
VG	3/24	kommune
DA	3/24	krisetid
DN	3/24	krisetiltak
AA	3/24	krøll
VG	3/24	lovgiving
AA	3/24	markedsføring
AA	3/24	minne
DB	3/24	mote
DB	3/24	protokoll
SA	3/24	rapportering
SA	3/24	regime
SA	3/24	reiseråd
AP	3/24	sikker
DA	3/24	snakke
VG	3/24	synge
VG	3/24	testrestriksjoner
VG	3/24	timefortime
VG	3/24	transport
DB	3/24	tsunami
VG	3/24	vettregel
VG	3/24	viruskoordinator
DA	3/25	arbeidsledighet
AA	3/25	beskjed
