VG	3/13	kontraster
NL	3/13	kortet
DN	3/13	kraft
DA	3/13	løft
DB	3/13	medisiner
DA	3/13	moralen
DB	3/13	musikal
DB	3/13	musikalen
AA	3/13	nedtur
AP	3/13	news
VG	3/13	norge
VG	3/13	overkjøre
AP	3/13	pakke
DA	3/13	pandemi
SA	3/13	robot
AP	3/13	rutinene
DA	3/13	sakene
VG	3/13	situasjon
FV	3/13	smittende
SA	3/13	stansede
DB	3/13	stanset
AP	3/13	strandede
AA	3/13	teste
DA	3/13	tidene
AP	3/13	unntakstilstand
SA	3/13	utsettelser
VG	3/13	virkningene
DB	3/13	virusinfeksjoner
DB	3/13	virussyke
AP	3/13	virustyper
NL	3/13	øvelse
VG	3/14	dvale
DB	3/14	dødsfallene
DB	3/14	greia
DN	3/14	hamstringen
VG	3/14	handling
SA	3/14	hjelpe
DB	3/14	hysteri
SA	3/14	informasjonen
DB	3/14	kommentar
DB	3/14	kommentarer
DB	3/14	krangel
VG	3/14	krangling
DA	3/14	kutt
NL	3/14	marerittet
DB	3/14	mobiliseringen
AP	3/14	pandemiens
DB	3/14	politiet
DN	3/14	rabatt
AA	3/14	regjering
DB	3/14	røde
SA	3/14	solidaritet
VG	3/14	spøk
DA	3/14	støvet
VG	3/14	vesenet
VG	3/15	bekreftelsen
NL	3/15	byks
BT	3/15	ferie
DB	3/15	fest
FV	3/15	hverdagen
VG	3/15	konsertkonseptet
VG	3/15	krakket
SA	3/15	krigen
AA	3/15	krisefond
AA	3/15	krisefondet
FV	3/15	krisepakken
DB	3/15	lovene
VG	3/15	pause
DB	3/15	raseri
DN	3/15	responsen
BT	3/15	restriksjonen
AA	3/15	restriksjonene
DB	3/15	straffene
NL	3/15	strategi
DA	3/15	symptomene
AA	3/15	tiltakspakken
VG	3/15	tjeneste
VG	3/15	trygg
AA	3/15	unntak
NL	3/15	utfordringer
VG	3/15	varsku
AA	3/15	virusgruppe
VG	3/16	avgjørelsene
AA	3/16	bedragere
DA	3/16	bekjempelsen
AA	3/16	dugnaden
DB	3/16	døde
DB	3/16	dødstall
DA	3/16	eksplosjon
SA	3/16	epidemiens
VG	3/16	episenter
VG	3/16	farene
DB	3/16	forhandlinger
DA	3/16	innsatsen
VG	3/16	jobbingen
DA	3/16	karantenebrudd
AA	3/16	koden
DB	3/16	komiteen
AA	3/16	komité
VG	3/16	kos
VG	3/16	krisens
NL	3/16	kurvene
AA	3/16	linje
DB	3/16	oversikt
VG	3/16	permitterte
VG	3/16	pressekonferansen
DB	3/16	rapport
DA	3/16	regninga
SA	3/16	sjuke
AA	3/16	smittebærere
SA	3/16	trygt
DB	3/16	tunnelen
SA	3/16	utgifter
AA	3/16	utsettelsene
DB	3/16	vaksinene
DB	3/16	vaksiner
DA	3/16	virusspesial
VG	3/16	ølet
AA	3/17	avlyste
AA	3/17	begrunnelse
AA	3/17	diagnose
VG	3/17	fengselet
DB	3/17	initiativet
VG	3/17	innleggelse
DA	3/17	interessen
FV	3/17	isolasjonen
AA	3/17	isoleringen
AP	3/17	karantenesenter
SA	3/17	krisedirektør
VG	3/17	krisehjelp
AA	3/17	lån
DA	3/17	pakken
VG	3/17	rådet
DB	3/17	sjokk
SA	3/17	skvis
AA	3/17	stansen
NL	3/17	stenge
VG	3/17	stengning
VG	3/17	strid
BT	3/17	sykdommen
DB	3/17	uro
DB	3/17	vakt
AP	3/17	virusepidemiene
AA	3/18	analyse
VG	3/18	ansvarlig
DA	3/18	arbeid
VG	3/18	baren
DB	3/18	blinde
AA	3/18	bot
DA	3/18	budskap
VG	3/18	bygda
DA	3/18	bølge
DB	3/18	datainnsamling
VG	3/18	doen
AA	3/18	drakter
BT	3/18	eksil
VG	3/18	ekspertene
NL	3/18	gåten
DB	3/18	helvetet
DB	3/18	innskrenkelsene
DB	3/18	kart
DB	3/18	kartet
DB	3/18	kriselov
VG	3/18	kroppen
